Time,Temperature,PH,EC,ORP,TDS,DO,Turbidity
9:55 AM,16.5,8.843376,16.10273973,-20,715.7845313,0,0
9:56 AM,16.5,8.719997357,16.10246575,-10,709.868313,0,0
9:57 AM,16.62,8.658308035,16.10246575,180,721.747609,0,0
9:58 AM,16.69,8.596618713,16.10246575,280,727.7545464,0,0
9:59 AM,16.75,8.534929391,16.10273973,0,727.7557464,0,0
10:00 AM,16.81,8.47324007,16.10219178,290,733.8077439,0,0
10:03 AM,16.94,8.349861426,16.10246575,-10,739.9068017,0,0
10:04 AM,17.06,8.288172104,16.10246575,20,739.9092017,0,0
10:05 AM,17.19,8.226482783,16.10246575,-20,739.9118017,0,0
10:06 AM,17.25,8.288172104,16.10219178,290,739.9130017,0,0
10:07 AM,17.31,8.226482783,16.10246575,-10,746.05672,0,0
10:08 AM,17.37,8.164793461,16.10246575,0,739.9154017,0,0
10:11 AM,17.44,8.103104139,16.10246575,-10,746.05932,0,0
10:12 AM,17.62,8.041414817,16.10246575,270,752.2518991,0,0
10:13 AM,17.62,8.041414817,16.10246575,290,752.2518991,0,0
10:14 AM,17.69,8.041414817,16.10246575,-30,752.2532991,0,0
10:15 AM,17.75,8.041414817,16.10246575,270,752.2544991,0,0
10:16 AM,17.81,8.041414817,16.10246575,10,752.2556991,0,0
10:19 AM,17.87,8.041414817,16.10246575,-10,758.4927393,0,0
10:20 AM,18.06,8.041414817,16.10246575,290,764.7796408,0,0
10:21 AM,18.12,8.041414817,16.10246575,140,764.7808408,0,0
10:22 AM,18.12,8.103104139,16.10246575,0,764.7808408,0,0
10:23 AM,18.19,8.041414817,16.10246575,110,764.7822408,0,0
10:24 AM,18.25,8.041414817,16.10273973,280,764.7834408,0,0
10:27 AM,18.31,8.041414817,16.10246575,110,771.1154038,0,0
10:28 AM,18.44,7.979725496,16.10246575,110,771.1180038,0,0
10:29 AM,18.56,7.979725496,16.10246575,210,777.4992288,0,0
10:30 AM,18.56,7.979725496,16.10246575,290,777.4992288,0,0
10:31 AM,18.62,8.041414817,16.10246575,300,771.1216038,0,0
10:32 AM,18.69,7.979725496,16.10246575,240,777.5018288,0,0
10:35 AM,18.75,7.979725496,16.10246575,280,777.5030288,0,0
10:36 AM,18.87,7.979725496,16.10246575,130,783.9327158,0,0
